loan_amount,income,credit_score,age,status
256500,3000,814,65-74,0
276500,4140,530,35-44,0
416500,5100,668,35-44,1
316500,10560,590,25-34,0
256500,6420,630,25-34,0
316500,6300,590,35-44,0
496500,8700,668,25-34,0
406500,9540,751,65-74,1
96500,1020,689,55-64,1
356500,7920,828,45-54,0
436500,6840,645,35-44,1
426500,7260,626,25-34,0
176500,4200,720,55-64,0
226500,3360,534,35-44,1
656500,9480,667,35-44,0
366500,5400,874,25-34,0
586500,25800,626,55-64,0
236500,5700,602,65-74,0
316500,4800,806,35-44,0
236500,4380,566,45-54,1
286500,7200,842,65-74,1
396500,12240,547,55-64,0
306500,5220,570,55-64,1
246500,6720,673,35-44,0
276500,14820,797,35-44,0
266500,4800,618,35-44,0
476500,11100,661,35-44,0
226500,3600,579,25-34,0
726500,13920,603,55-64,1
146500,2460,894,55-64,0
276500,4620,761,25-34,0
336500,5100,506,55-64,0
856500,17160,640,55-64,0
556500,8520,896,45-54,0
256500,3180,591,35-44,0
486500,12240,861,35-44,0
276500,9960,654,55-64,1
296500,4980,835,35-44,0
486500,6180,664,45-54,0
296500,5700,546,45-54,0
476500,5100,808,45-54,1
126500,1680,539,55-64,0
126500,4620,526,65-74,0
486500,,505,25-34,0
416500,7500,786,45-54,1
456500,11700,822,35-44,0
256500,,604,55-64,0
336500,16080,604,45-54,0
156500,6000,891,25-34,0
166500,5760,873,55-64,0
396500,15960,596,45-54,0
236500,3660,774,65-74,0
126500,1680,572,65-74,1
326500,7320,631,35-44,0
146500,,542,65-74,0
216500,7980,523,45-54,1
276500,9060,801,45-54,1
106500,6660,852,55-64,0
366500,4800,878,25-34,0
616500,8040,855,45-54,0
76500,1440,686,55-64,0
286500,3840,713,65-74,0
176500,5460,850,45-54,1
506500,11580,529,45-54,0
206500,6480,753,45-54,1
296500,5520,655,55-64,0
316500,9720,784,55-64,0
486500,15540,814,45-54,0
66500,2880,532,55-64,0
506500,7200,520,35-44,0
566500,5400,875,35-44,1
136500,,767,55-64,0
216500,3480,582,55-64,0
246500,2460,727,>74,0
456500,17760,614,25-34,0
136500,,863,>74,0
486500,16020,835,65-74,0
126500,1800,681,25-34,1
636500,22140,784,45-54,0
106500,11880,822,55-64,1
186500,2640,505,>74,0
126500,9960,804,35-44,0
616500,8280,766,45-54,0
636500,7080,825,25-34,1
216500,4800,607,55-64,1
286500,4440,811,35-44,0
126500,2940,715,>74,1
396500,,678,25-34,0
366500,,682,65-74,0
466500,8400,847,35-44,0
206500,2580,663,55-64,0
596500,3300,691,45-54,1
56500,7380,838,55-64,0
286500,6840,734,25-34,0
216500,5760,699,35-44,0
406500,,611,>74,0
666500,12780,651,35-44,0
266500,8040,812,35-44,0
126500,1200,793,>74,1
656500,0,778,45-54,1
236500,5820,600,45-54,0
446500,8460,608,55-64,0
386500,4740,870,25-34,0
256500,5460,500,35-44,1
356500,6840,512,35-44,0
426500,4260,602,35-44,1
516500,5940,572,25-34,0
406500,9840,851,45-54,0
186500,18420,718,55-64,0
146500,3900,624,25-34,0
506500,7740,507,55-64,0
446500,,724,35-44,0
146500,5340,689,65-74,0
556500,16440,621,35-44,0
126500,3000,511,65-74,1
306500,,833,35-44,0
706500,12120,736,25-34,0
546500,6360,818,45-54,0
616500,9300,543,35-44,0
236500,3720,752,<25,0
246500,3300,540,35-44,0
356500,11040,845,45-54,0
196500,,829,65-74,0
116500,1920,511,55-64,1
216500,,623,65-74,1
306500,5580,596,25-34,1
196500,24540,549,45-54,0
56500,2400,596,35-44,1
156500,3000,867,65-74,0
76500,2280,750,>74,0
256500,6600,631,45-54,0
326500,3180,658,35-44,0
596500,16260,836,35-44,0
356500,6840,652,35-44,0
616500,6840,567,65-74,0
76500,4080,599,45-54,1
56500,8460,537,45-54,0
366500,,654,55-64,0
366500,10800,506,45-54,1
326500,,682,>74,0
56500,5100,789,65-74,0
166500,3180,854,>74,0
336500,6240,707,55-64,0
356500,114000,670,45-54,0
356500,7440,759,25-34,1
576500,11580,672,35-44,1
186500,5040,680,45-54,0
396500,11160,855,35-44,0
436500,,892,,1
246500,4320,654,35-44,0
1286500,29340,614,35-44,0
186500,7140,643,55-64,1
116500,4620,626,35-44,0
686500,9000,731,45-54,0
266500,4320,653,>74,0
186500,,632,,1
216500,2580,513,45-54,0
156500,5280,857,25-34,0
516500,8400,796,25-34,0
296500,9900,591,35-44,1
86500,900,556,65-74,0
236500,3600,697,55-64,0
546500,,781,45-54,0
256500,24960,563,55-64,0
426500,8340,623,35-44,1
396500,4740,829,25-34,0
296500,5820,766,35-44,1
186500,7020,728,45-54,0
386500,12180,709,35-44,0
146500,4200,701,45-54,1
126500,5940,869,>74,0
396500,3240,571,45-54,1
386500,4080,702,65-74,0
486500,4140,576,45-54,1
226500,0,598,55-64,1
436500,5940,720,65-74,0
156500,3000,679,55-64,0
296500,10320,616,35-44,0
246500,7560,899,35-44,0
536500,8040,530,25-34,0
96500,2760,575,55-64,1
106500,2760,527,55-64,0
236500,5100,899,65-74,0
406500,7200,818,55-64,0
376500,4500,582,45-54,0
486500,13440,805,35-44,0
846500,16020,602,45-54,1
116500,3540,627,55-64,0
556500,20820,818,45-54,0
326500,6240,876,55-64,1
486500,12000,669,55-64,0
266500,14820,896,45-54,1
756500,15060,852,45-54,0
266500,4200,761,55-64,0
436500,5160,638,55-64,1
336500,6120,868,35-44,0
456500,5340,566,25-34,0
76500,5520,659,45-54,0
336500,13800,513,25-34,1
456500,6300,869,55-64,0
136500,4380,653,45-54,1
296500,4680,766,25-34,0
256500,3180,771,45-54,1
396500,8220,749,25-34,0
506500,6960,617,55-64,1
156500,3000,838,55-64,0
486500,4620,521,<25,0
126500,3240,555,45-54,0
176500,5520,743,65-74,0
206500,,772,45-54,0
456500,7920,582,45-54,0
156500,3540,823,65-74,0
526500,5880,849,35-44,0
196500,9180,652,45-54,1
476500,8700,655,45-54,1
206500,2040,683,65-74,0
306500,7380,557,>74,0
156500,2100,593,>74,0
216500,7740,841,35-44,0
686500,7140,653,35-44,0
316500,7800,697,55-64,0
526500,,525,25-34,0
226500,3180,522,55-64,0
196500,4680,879,45-54,1
226500,3360,589,55-64,0
436500,6480,545,35-44,0
336500,3240,682,35-44,0
106500,2460,519,55-64,0
286500,5460,787,55-64,0
86500,2640,581,65-74,0
386500,4020,630,25-34,0
636500,8880,847,35-44,0
386500,6120,835,35-44,0
366500,6300,555,35-44,0
626500,50160,579,45-54,0
96500,2400,597,45-54,0
456500,9000,582,25-34,0
636500,19800,900,55-64,1
106500,2700,610,65-74,0
356500,17400,512,25-34,0
326500,10560,667,25-34,0
546500,7140,807,>74,0
466500,7200,591,25-34,0
546500,7020,895,25-34,0
386500,13980,527,25-34,0
436500,10800,642,35-44,0
326500,3480,810,65-74,0
166500,4260,552,25-34,0
276500,4200,779,35-44,1
96500,3900,610,45-54,0
396500,6240,544,25-34,0
636500,8580,606,45-54,0
136500,3900,705,35-44,0
216500,4020,610,55-64,0
566500,7680,513,55-64,0
366500,6060,563,35-44,0
436500,7500,711,55-64,0
256500,8640,723,>74,1
546500,5880,824,35-44,0
486500,8580,639,55-64,0
226500,4500,540,65-74,0
726500,10200,874,45-54,0
106500,1440,853,65-74,0
296500,,852,35-44,0
246500,3960,862,45-54,1
216500,4980,758,35-44,1
236500,3660,800,35-44,0
196500,6000,587,45-54,0
456500,8640,646,35-44,1
676500,10200,560,35-44,0
156500,2820,687,35-44,0
726500,10320,526,35-44,0
196500,4260,595,55-64,0
206500,,582,35-44,0
476500,4680,847,55-64,1
286500,3840,664,35-44,1
96500,3540,829,55-64,0
626500,10980,559,35-44,1
246500,4500,841,55-64,0
86500,4020,878,25-34,0
586500,5880,848,45-54,0
676500,10920,808,45-54,1
106500,3660,553,65-74,0
426500,,520,45-54,0
126500,1440,567,55-64,0
106500,2040,777,25-34,0
156500,4860,881,35-44,1
486500,8340,878,25-34,0
266500,5040,530,35-44,0
156500,3240,530,45-54,0
416500,9480,864,35-44,0
506500,5640,671,35-44,0
106500,2280,577,65-74,0
46500,4620,594,45-54,0
216500,4080,886,65-74,0
106500,4740,727,55-64,1
196500,1860,586,55-64,1
486500,8160,770,35-44,0
716500,,731,35-44,0
526500,9900,517,35-44,0
236500,5940,856,55-64,0
276500,8040,689,>74,0
146500,3300,691,45-54,1
206500,5220,716,25-34,0
576500,6780,623,45-54,0
336500,7140,634,45-54,0
106500,1620,834,25-34,0
116500,1740,781,55-64,1
456500,8880,552,45-54,1
616500,6180,662,55-64,0
166500,4740,800,45-54,0
186500,3480,775,55-64,0
446500,8160,548,25-34,0
486500,5040,666,>74,0
266500,4740,501,45-54,0
316500,4800,616,35-44,0
586500,17100,518,45-54,1
226500,5160,668,55-64,0
206500,5640,731,65-74,0
356500,7320,726,55-64,0
726500,15180,542,65-74,0
406500,5220,508,45-54,0
176500,2940,895,25-34,0
486500,14400,734,35-44,0
416500,8460,695,65-74,1
656500,11820,671,35-44,0
466500,4740,781,25-34,1
546500,,660,55-64,0
306500,3960,765,65-74,0
226500,6000,881,55-64,1
186500,6120,539,45-54,0
526500,8040,725,45-54,0
246500,4080,856,55-64,0
426500,4440,651,45-54,0
666500,,827,45-54,0
366500,4680,554,55-64,0
446500,7020,575,25-34,0
426500,5400,759,35-44,0
406500,8520,894,65-74,0
286500,8340,533,45-54,0
246500,4020,641,65-74,1
316500,4800,577,45-54,0
156500,2940,781,65-74,1
486500,16020,774,35-44,0
516500,5760,580,25-34,0
466500,8760,710,45-54,0
616500,,605,55-64,0
226500,6240,735,25-34,0
486500,8880,599,55-64,0
756500,14100,554,25-34,1
506500,8820,572,55-64,0
306500,6960,551,25-34,0
116500,3540,689,65-74,0
286500,14280,708,45-54,0
116500,2580,822,25-34,0
326500,9300,822,45-54,0
506500,8460,761,45-54,0
536500,9180,552,35-44,0
166500,8100,690,55-64,0
296500,,771,35-44,0
356500,10320,821,>74,0
136500,4320,631,45-54,0
326500,4860,674,55-64,0
486500,6960,562,25-34,1
306500,3060,746,65-74,0
356500,,613,45-54,0
486500,9720,724,55-64,0
216500,3600,580,65-74,1
156500,3720,586,35-44,0
396500,9180,670,55-64,0
166500,2940,683,65-74,0
1476500,26520,760,35-44,1
256500,7200,572,45-54,1
396500,5460,697,45-54,0
526500,14640,741,65-74,0
506500,4800,541,55-64,0
266500,4560,637,45-54,0
326500,8580,553,45-54,0
326500,,629,45-54,0
266500,11100,638,35-44,0
726500,7080,655,55-64,0
396500,4860,585,35-44,0
226500,8460,559,35-44,0
156500,10320,542,55-64,0
476500,18360,651,65-74,0
146500,4680,608,35-44,0
296500,5100,613,45-54,1
426500,7980,655,35-44,1
156500,3120,629,>74,0
276500,5220,520,45-54,0
266500,6000,842,45-54,1
336500,2940,585,>74,0
506500,6360,786,>74,1
346500,6060,568,65-74,0
146500,3360,828,45-54,0
66500,2280,807,>74,1
326500,3780,560,45-54,0
806500,13980,744,65-74,1
466500,7620,575,>74,0
486500,5040,694,35-44,1
86500,1440,838,>74,0
456500,13860,627,55-64,1
96500,1860,773,25-34,0
756500,22740,670,55-64,0
236500,7560,634,45-54,0
296500,3180,785,45-54,0
546500,8760,512,65-74,0
466500,7800,896,25-34,0
336500,4320,808,55-64,0
186500,3720,855,65-74,0
286500,4080,601,55-64,1
286500,2880,839,55-64,1
336500,5220,537,25-34,0
226500,7260,900,45-54,0
476500,7920,618,65-74,0
356500,3600,642,45-54,0
446500,7020,661,55-64,0
456500,10800,627,25-34,0
496500,15000,770,45-54,1
346500,5640,507,65-74,0
306500,9840,569,65-74,1
266500,3360,747,55-64,1
76500,3960,814,25-34,0
286500,7800,507,65-74,0
466500,8100,593,45-54,0
486500,6840,882,45-54,0
306500,9720,673,35-44,1
296500,9600,796,45-54,0
316500,5700,784,35-44,0
136500,5280,655,65-74,1
496500,8700,572,<25,0
376500,8400,765,35-44,0
116500,3360,624,25-34,0
176500,2100,883,55-64,1
216500,13560,811,45-54,0
256500,10380,542,35-44,1
316500,,560,55-64,0
96500,2760,752,45-54,1
146500,,727,45-54,0
236500,3900,603,45-54,1
226500,3000,741,65-74,0
56500,3240,589,55-64,0
106500,6360,578,55-64,0
226500,6780,736,65-74,1
246500,7320,637,55-64,1
586500,9780,633,25-34,0
286500,3720,622,45-54,1
386500,6480,730,35-44,0
186500,4080,545,35-44,0
546500,,844,25-34,0
126500,2220,616,25-34,0
396500,,679,45-54,0
166500,8640,771,55-64,0
206500,5820,572,55-64,0
376500,,738,35-44,0
396500,,735,55-64,0
266500,9180,584,45-54,1
226500,4200,848,45-54,0
206500,6900,681,55-64,0
186500,8280,876,25-34,0
646500,19080,574,45-54,0
236500,4080,705,45-54,0
576500,8400,723,45-54,0
306500,11040,828,35-44,0
306500,9240,720,45-54,0
266500,3420,653,55-64,0
446500,9240,621,25-34,0
536500,11520,584,55-64,0
596500,9060,766,35-44,0
106500,4920,665,25-34,1
506500,8400,590,35-44,0
186500,3480,720,>74,0
246500,3960,537,25-34,0
126500,4500,612,35-44,0
726500,12960,813,>74,0
256500,5940,888,35-44,0
266500,3120,742,65-74,1
616500,8460,819,35-44,1
586500,7860,570,45-54,0
236500,4980,847,45-54,1
346500,6240,610,45-54,0
396500,4080,707,65-74,1
436500,6540,834,25-34,0
306500,,501,65-74,0
286500,,595,55-64,0
136500,5040,738,25-34,0
266500,3540,601,25-34,0
456500,,633,35-44,0
286500,9180,872,55-64,0
456500,12540,892,65-74,0
546500,8820,843,25-34,0
486500,10800,813,35-44,0
286500,3360,677,55-64,1
106500,4860,613,55-64,0
436500,6060,613,35-44,0
156500,3180,677,65-74,0
446500,21840,533,45-54,0
66500,1980,516,45-54,1
726500,14580,615,35-44,0
206500,3180,690,35-44,0
136500,2400,857,>74,0
566500,37800,873,45-54,1
386500,8700,660,35-44,0
266500,4980,711,25-34,0
316500,7020,538,25-34,0
316500,3600,514,45-54,0
676500,48180,679,65-74,0
196500,6120,688,55-64,0
226500,4380,805,55-64,0
306500,4860,737,35-44,0
326500,5220,799,55-64,0
316500,6840,850,35-44,1
676500,5340,542,45-54,1
206500,3300,523,25-34,0
296500,4080,752,45-54,0
446500,8940,607,45-54,0
286500,5880,785,25-34,1
286500,5340,677,45-54,0
456500,10380,658,25-34,0
206500,5220,515,25-34,0
526500,6360,657,35-44,1
276500,4800,861,35-44,0
366500,5940,571,45-54,0
496500,5160,721,35-44,0
266500,,831,35-44,0
156500,3540,668,65-74,0
296500,,739,45-54,0
576500,11520,724,45-54,1
216500,3720,760,25-34,0
486500,8820,710,45-54,0
1166500,16320,674,35-44,0
596500,7260,576,25-34,0
196500,1920,848,65-74,0
246500,6000,572,35-44,0
336500,3660,740,55-64,0
486500,7860,653,35-44,0
396500,8100,592,55-64,1
306500,4020,643,25-34,0
366500,6120,717,25-34,0
146500,5280,846,65-74,1
146500,2580,669,65-74,0
76500,2280,744,55-64,0
196500,6300,870,25-34,1
406500,4140,795,35-44,0
466500,12300,874,55-64,0
186500,2580,654,55-64,1
366500,6060,885,45-54,0
186500,3480,686,55-64,0
256500,3720,703,65-74,0
206500,13260,535,45-54,1
326500,5880,577,65-74,0
336500,18780,534,45-54,0
326500,,752,35-44,0
266500,3540,731,45-54,0
216500,2940,782,<25,1
196500,0,755,65-74,1
276500,2280,830,25-34,1
486500,6120,670,45-54,1
606500,10800,732,35-44,0
276500,5760,622,65-74,0
166500,2580,515,45-54,0
156500,3480,554,65-74,1
256500,6480,551,55-64,0
186500,2820,636,65-74,0
466500,4380,851,55-64,0
586500,16920,598,45-54,0
446500,6180,640,65-74,0
96500,3420,684,25-34,0
396500,5100,567,45-54,0
126500,4860,767,55-64,0
106500,1620,590,>74,1
336500,9600,675,45-54,0
496500,9780,561,45-54,0
406500,9720,842,45-54,0
676500,10620,639,45-54,0
176500,3720,815,45-54,0
266500,8520,571,35-44,0
296500,4380,814,45-54,0
616500,11820,530,45-54,0
296500,4740,518,25-34,0
536500,9660,762,35-44,0
456500,12300,805,65-74,0
446500,8100,548,35-44,0
96500,8880,787,65-74,0
356500,8760,769,45-54,0
386500,5400,652,45-54,0
396500,,554,45-54,0
556500,3960,732,55-64,1
116500,7140,527,45-54,0
206500,10380,650,55-64,0
196500,3420,705,25-34,0
496500,11100,552,35-44,0
266500,5100,790,45-54,0
336500,3840,741,55-64,0
186500,3540,852,45-54,0
146500,3720,883,55-64,0
606500,6060,652,45-54,0
106500,4500,785,65-74,0
346500,4380,711,45-54,1
306500,,545,55-64,0
586500,,600,35-44,0
136500,1620,675,55-64,0
256500,8280,775,55-64,0
226500,12120,725,55-64,0
276500,5400,895,25-34,0
486500,14220,696,45-54,0
426500,,624,45-54,0
136500,2460,638,55-64,0
196500,5160,617,<25,0
326500,5160,634,55-64,1
266500,,764,25-34,0
216500,,704,25-34,0
756500,14340,551,35-44,0
306500,5400,705,45-54,0
256500,3480,838,55-64,0
196500,4560,769,35-44,0
416500,9480,527,35-44,0
626500,24060,697,55-64,0
726500,11340,563,25-34,1
436500,8040,557,>74,1
606500,10140,510,35-44,0
116500,3240,697,65-74,0
686500,10020,874,35-44,0
226500,5820,885,55-64,0
156500,3180,638,35-44,0
206500,5400,617,55-64,0
446500,16920,845,35-44,0
316500,11280,629,55-64,0
266500,6120,649,35-44,1
86500,2100,704,55-64,0
236500,3900,897,55-64,0
266500,6180,604,25-34,1
106500,3600,571,25-34,1
176500,2880,547,25-34,0
226500,9900,560,45-54,0
366500,6060,743,55-64,1
196500,1740,772,65-74,0
146500,6120,694,45-54,0
596500,16800,800,55-64,1
186500,2880,828,55-64,0
206500,9780,692,45-54,1
206500,7800,733,35-44,1
156500,0,739,55-64,1
176500,,725,45-54,0
196500,2700,752,45-54,0
156500,4380,843,45-54,1
136500,2760,518,55-64,1
336500,11040,695,45-54,1
166500,5520,879,35-44,0
176500,2340,861,65-74,0
196500,5280,716,65-74,0
486500,8700,897,35-44,0
336500,,847,35-44,0
1166500,,809,,1
686500,8940,736,35-44,0
816500,9540,821,45-54,1
336500,5100,710,45-54,0
556500,7620,853,45-54,0
206500,3540,691,25-34,1
176500,0,651,45-54,1
286500,5640,736,35-44,0
126500,1980,649,65-74,1
86500,,780,,1
156500,8220,561,45-54,1
136500,4380,736,65-74,0
456500,12900,880,55-64,1
476500,12600,736,55-64,0
1076500,14340,761,35-44,0
266500,4440,717,65-74,0
326500,0,627,35-44,1
726500,23400,734,45-54,0
246500,3720,722,45-54,1
116500,2700,811,55-64,0
356500,10200,620,55-64,0
356500,4740,806,35-44,0
446500,10560,761,45-54,1
246500,2760,813,55-64,0
106500,6480,501,55-64,0
346500,9180,649,55-64,0
146500,6660,635,65-74,0
176500,12900,828,25-34,0
166500,1980,589,>74,0
76500,1380,783,65-74,0
346500,6660,560,55-64,1
326500,,763,55-64,0
246500,10980,712,45-54,0
316500,23280,628,45-54,0
536500,11400,754,35-44,0
96500,3840,530,35-44,0
296500,4560,509,35-44,0
306500,5640,557,55-64,0
356500,6240,801,55-64,0
176500,,833,45-54,0
236500,3840,575,35-44,0
76500,3480,567,65-74,0
586500,14880,735,35-44,0
246500,13800,818,45-54,0
76500,1380,791,55-64,1
396500,6420,520,65-74,1
226500,2820,622,25-34,0
226500,5400,716,65-74,0
156500,4020,856,25-34,1
276500,5460,595,55-64,1
346500,4740,867,45-54,1
416500,7800,672,25-34,1
206500,,623,25-34,0
526500,6420,552,35-44,1
276500,5520,899,45-54,0
396500,12180,759,45-54,1
316500,3240,509,>74,0
236500,7440,835,35-44,0
256500,8640,854,55-64,0
306500,3960,728,55-64,0
236500,,597,45-54,0
506500,6060,808,35-44,0
276500,3960,784,45-54,0
106500,6060,554,55-64,1
486500,7020,736,45-54,0
546500,4440,676,25-34,1
196500,6000,709,25-34,0
176500,4680,737,25-34,0
726500,16620,632,35-44,0
436500,10140,678,45-54,0
286500,10980,525,55-64,0
626500,14220,729,35-44,0
486500,14880,873,55-64,0
66500,900,562,45-54,0
156500,6000,564,65-74,0
256500,5100,621,45-54,1
366500,3900,670,25-34,0
186500,11460,793,55-64,0
196500,32460,839,45-54,0
576500,5040,622,25-34,0
626500,12060,835,35-44,0
616500,,768,45-54,0
126500,1620,564,65-74,0
376500,6180,667,45-54,0
456500,5040,505,45-54,0
236500,7080,512,45-54,0
436500,9900,563,25-34,1
186500,2400,569,45-54,1
246500,3480,746,65-74,0
306500,5460,691,55-64,0
576500,,840,25-34,0
276500,6900,562,35-44,0
256500,6840,576,25-34,0
186500,3960,693,65-74,0
466500,10620,632,45-54,0
276500,4380,813,45-54,0
206500,6720,631,55-64,0
346500,5220,576,45-54,0
196500,3900,619,55-64,0
256500,3120,735,65-74,0
556500,98220,786,45-54,0
826500,7080,637,65-74,0
226500,5400,514,>74,0
76500,2940,763,65-74,0
516500,28740,788,35-44,0
366500,,785,65-74,0
246500,8100,811,45-54,0
326500,7920,834,55-64,1
136500,1800,605,65-74,1
226500,3060,513,>74,0
546500,8460,899,25-34,0
196500,3780,814,55-64,0
436500,9120,773,55-64,0
66500,840,589,35-44,1
306500,9300,571,65-74,0
326500,10680,789,45-54,0
556500,5520,603,55-64,0
676500,12240,766,55-64,0
136500,4560,634,55-64,0
416500,6660,687,45-54,0
726500,11460,696,35-44,1
456500,6060,783,45-54,0
386500,5400,805,25-34,1
336500,0,508,25-34,1
276500,4260,805,45-54,0
276500,7020,722,55-64,0
286500,4500,840,25-34,1
306500,5580,722,25-34,0
356500,12540,721,65-74,1
666500,6900,844,25-34,0
946500,26040,609,45-54,1
206500,5520,574,35-44,0
176500,3600,597,55-64,1
306500,5280,805,55-64,0
66500,3900,700,65-74,1
156500,3060,729,35-44,0
246500,3900,589,35-44,0
476500,8820,615,35-44,0
236500,2160,866,55-64,0
176500,3660,888,35-44,1
146500,2640,871,65-74,0
76500,1560,858,65-74,1
286500,6360,561,35-44,0
346500,7620,590,55-64,0
476500,7800,799,25-34,0
336500,9360,591,>74,0
486500,4860,572,65-74,0
76500,2700,648,35-44,1
226500,10560,714,45-54,0
276500,5280,846,25-34,1
206500,10320,559,45-54,1
196500,3420,590,45-54,0
206500,3420,647,45-54,0
546500,8220,729,55-64,1
476500,7920,792,>74,1
86500,2220,750,45-54,0
276500,,575,65-74,0
246500,4500,660,35-44,0
126500,5160,816,55-64,0
116500,1920,826,45-54,0
156500,19440,871,45-54,0
256500,2400,871,65-74,1
586500,9540,794,25-34,0
176500,4740,700,>74,0
486500,8280,802,25-34,1
186500,,884,65-74,0
306500,4860,605,25-34,1
366500,18960,731,35-44,1
276500,6660,688,55-64,1
326500,18000,816,45-54,1
286500,4740,637,45-54,0
316500,14100,672,35-44,0
256500,3840,646,25-34,0
186500,3720,715,55-64,1
226500,3360,887,35-44,0
636500,9840,771,35-44,0
296500,3720,844,55-64,0
496500,,819,55-64,0
196500,6600,845,55-64,1
346500,4140,873,65-74,1
266500,4200,727,55-64,1
556500,8400,867,45-54,0
246500,13980,627,55-64,0
146500,,647,>74,0
106500,1740,723,45-54,1
516500,7560,573,35-44,0
306500,12960,783,45-54,1
306500,6480,582,65-74,0
186500,3960,845,55-64,0
126500,7860,825,65-74,0
586500,6720,530,35-44,0
626500,8280,523,35-44,0
156500,2340,577,65-74,0
186500,2400,804,45-54,1
146500,2520,553,>74,0
186500,2340,776,55-64,1
396500,6000,837,25-34,0
556500,7200,571,25-34,0
326500,4800,579,45-54,0
486500,28740,814,55-64,0
116500,11400,701,55-64,1
346500,10680,651,65-74,0
306500,4800,617,55-64,1
646500,12000,860,45-54,0
266500,4260,804,45-54,0
166500,2820,587,55-64,1
156500,4440,634,45-54,0
206500,3300,583,35-44,1
56500,1320,799,65-74,0
396500,8160,861,55-64,1
86500,2520,553,>74,1
596500,5820,844,65-74,0
96500,1140,627,65-74,0
166500,2760,737,65-74,0
486500,9060,641,65-74,0
326500,3360,799,35-44,0
356500,5640,666,35-44,0
126500,,666,>74,1
306500,5760,693,45-54,0
246500,4920,516,35-44,0
356500,6600,882,35-44,0
196500,3420,593,45-54,0
166500,2640,852,>74,0
376500,14880,876,35-44,0
106500,2940,528,55-64,1
236500,5100,724,25-34,0
356500,3240,829,65-74,1
186500,2640,508,<25,1
226500,3240,667,45-54,0
76500,3720,590,65-74,0
266500,,511,35-44,0
466500,4740,662,25-34,0
486500,8460,796,35-44,0
166500,2880,813,65-74,1
206500,3000,713,25-34,0
146500,1320,737,45-54,1
576500,6960,625,25-34,0
356500,6300,592,55-64,0
426500,,787,35-44,1
446500,6300,854,25-34,0
556500,6420,715,55-64,0
436500,7380,510,65-74,0
1386500,46500,684,25-34,1
216500,3120,664,65-74,0
566500,8880,887,45-54,0
106500,1440,653,65-74,0
296500,7140,734,45-54,0
166500,3300,826,35-44,1
596500,10440,535,35-44,0
146500,5460,529,>74,0
136500,4680,890,45-54,1
426500,6780,526,65-74,0
156500,12660,657,65-74,1
206500,3720,718,55-64,0
246500,6600,711,45-54,0
326500,4740,593,45-54,0
66500,720,607,55-64,1
256500,6300,882,65-74,0
356500,11280,643,65-74,0
286500,4680,810,65-74,0
166500,2040,643,>74,0
306500,8760,549,25-34,0
426500,6900,759,25-34,0
316500,6720,863,35-44,0
186500,3420,594,65-74,0
406500,12660,641,45-54,1
226500,,513,55-64,0
156500,2880,615,<25,1
516500,6660,867,35-44,0
76500,3180,542,45-54,0
416500,8580,854,25-34,1
466500,6660,891,65-74,0
246500,8340,734,45-54,0
86500,2700,800,45-54,0
566500,7320,709,45-54,1
356500,4620,522,45-54,0
136500,3600,501,25-34,1
516500,12000,851,45-54,0
126500,,739,55-64,0
96500,3660,638,55-64,0
846500,10140,893,45-54,0
116500,2040,709,65-74,0
556500,9420,823,55-64,1
576500,6060,782,65-74,0
296500,9000,680,35-44,0
386500,14040,764,65-74,0
206500,2400,537,>74,0
146500,1740,891,65-74,0
426500,11700,544,35-44,0
446500,8100,618,35-44,0
216500,,624,>74,0
506500,22800,606,45-54,1
216500,2760,763,35-44,0
446500,10080,783,35-44,0
606500,12420,731,35-44,0
196500,,727,45-54,0
366500,5040,867,65-74,0
306500,4800,697,25-34,1
416500,6600,799,25-34,1
256500,5700,802,35-44,1
356500,5640,645,55-64,0
276500,1380,617,65-74,1
326500,7260,508,25-34,0
326500,4260,724,35-44,0
286500,4800,648,55-64,0
236500,2520,503,35-44,0
446500,10500,593,35-44,0
366500,5400,893,25-34,1
346500,14160,879,35-44,0
236500,5820,596,35-44,1
516500,8340,745,25-34,0
486500,9060,510,25-34,0
176500,2040,663,65-74,0
356500,9780,524,25-34,0
296500,4200,855,55-64,0
256500,4500,835,45-54,0
316500,4200,738,35-44,0
326500,5520,577,55-64,0
306500,7080,768,45-54,0
456500,3540,762,25-34,1
206500,4440,576,55-64,1
346500,7680,608,55-64,0
186500,3780,776,35-44,0
156500,3900,522,65-74,0
136500,7140,681,45-54,0
256500,5220,714,55-64,0
136500,5880,520,45-54,1
296500,,645,55-64,0
256500,12360,832,45-54,0
206500,2280,576,55-64,0
526500,7080,524,25-34,0
106500,2880,673,25-34,1
476500,11040,604,35-44,0
336500,14340,730,45-54,1
426500,4140,844,35-44,0
276500,6600,885,45-54,0
826500,8880,900,55-64,1
476500,7380,626,55-64,0
236500,,582,65-74,0
526500,8700,815,55-64,0
266500,7320,751,35-44,0
176500,1380,593,25-34,1
356500,8280,795,55-64,0
256500,3240,777,25-34,0
256500,3480,894,35-44,1
206500,2640,638,45-54,1
106500,2520,609,35-44,0
116500,4680,878,45-54,1
176500,2700,764,65-74,0
116500,2940,683,45-54,0
526500,6720,745,35-44,1
126500,2160,717,35-44,0
606500,5100,829,>74,1
516500,6720,807,35-44,0
226500,6360,702,45-54,0
186500,3420,643,>74,1
336500,5640,788,25-34,1
156500,19320,864,65-74,0
636500,7020,539,35-44,0
586500,11520,504,35-44,0
486500,20160,753,65-74,0
